Revenue,Survey question,Response option,Percent,Question sample size
"$50,001-$100,000",Physical space of business headquarters,"A residence (e.g., home, apartment)",35%,412
"$50,001-$100,000",Physical space of business headquarters,Facility owned by the business,8%,412
"$50,001-$100,000",Physical space of business headquarters,"Rent-free space provided by the owner, a nonprofit, or other firm",2%,412
"$50,001-$100,000",Physical space of business headquarters,A mobile location (vehicle-based or on-location services),2%,412
"$50,001-$100,000",Physical space of business headquarters,"A virtual location (online, cloud-based)",2%,412
"$50,001-$100,000",Physical space of business headquarters,Other,0%,412
"$100,001-$250,000",Physical space of business headquarters,Facility rented by the business,54%,865
"$100,001-$250,000",Physical space of business headquarters,"A residence (e.g., home, apartment)",22%,865
"$100,001-$250,000",Physical space of business headquarters,Facility owned by the business,15%,865
"$100,001-$250,000",Physical space of business headquarters,"Rent-free space provided by the owner, a nonprofit, or other firm",4%,865
"$100,001-$250,000",Physical space of business headquarters,"A virtual location (online, cloud-based)",3%,865
"$100,001-$250,000",Physical space of business headquarters,A mobile location (vehicle-based or on-location services),2%,865
"$100,001-$250,000",Physical space of business headquarters,Other,0%,865
"$250,001-$500,000",Physical space of business headquarters,Facility rented by the business,59%,1029
"$250,001-$500,000",Physical space of business headquarters,Facility owned by the business,17%,1029
"$250,001-$500,000",Physical space of business headquarters,"A residence (e.g., home, apartment)",16%,1029
"$250,001-$500,000",Physical space of business headquarters,"A virtual location (online, cloud-based)",4%,1029
"$250,001-$500,000",Physical space of business headquarters,"Rent-free space provided by the owner, a nonprofit, or other firm",3%,1029
"$250,001-$500,000",Physical space of business headquarters,A mobile location (vehicle-based or on-location services),2%,1029
"$250,001-$500,000",Physical space of business headquarters,Other,0%,1029
"$500,001-$1 million",Physical space of business headquarters,Facility rented by the business,70%,1099
"$500,001-$1 million",Physical space of business headquarters,Facility owned by the business,17%,1099
"$500,001-$1 million",Physical space of business headquarters,"A residence (e.g., home, apartment)",10%,1099
"$500,001-$1 million",Physical space of business headquarters,"Rent-free space provided by the owner, a nonprofit, or other firm",2%,1099
"$500,001-$1 million",Physical space of business headquarters,"A virtual location (online, cloud-based)",2%,1099
"$500,001-$1 million",Physical space of business headquarters,A mobile location (vehicle-based or on-location services),0%,1099
"$500,001-$1 million",Physical space of business headquarters,Other,0%,1099
$1 million-$5 million,Physical space of business headquarters,Facility rented by the business,65%,1567
$1 million-$5 million,Physical space of business headquarters,Facility owned by the business,22%,1567
$1 million-$5 million,Physical space of business headquarters,"A residence (e.g., home, apartment)",9%,1567
$1 million-$5 million,Physical space of business headquarters,"A virtual location (online, cloud-based)",3%,1567
$1 million-$5 million,Physical space of business headquarters,"Rent-free space provided by the owner, a nonprofit, or other firm",2%,1567
$1 million-$5 million,Physical space of business headquarters,A mobile location (vehicle-based or on-location services),0%,1567
$1 million-$5 million,Physical space of business headquarters,Other,0%,1567
"$25,001-$50,000","Plans to relocate, next 2 years",Does not plan to relocate,65%,211
"$25,001-$50,000","Plans to relocate, next 2 years",Unsure,18%,211
"$25,001-$50,000","Plans to relocate, next 2 years",Plans to relocate,17%,211
"$0-$25,000","Plans to relocate, next 2 years",Does not plan to relocate,49%,272
"$0-$25,000","Plans to relocate, next 2 years",Unsure,26%,272
"$0-$25,000","Plans to relocate, next 2 years",Plans to relocate,25%,272
$5 million-$10 million,"Plans to relocate, next 2 years",Does not plan to relocate,78%,299
$5 million-$10 million,"Plans to relocate, next 2 years",Unsure,12%,299
$5 million-$10 million,"Plans to relocate, next 2 years",Plans to relocate,10%,299
More than $10 million,"Plans to relocate, next 2 years",Does not plan to relocate,73%,337
More than $10 million,"Plans to relocate, next 2 years",Plans to relocate,13%,337
More than $10 million,"Plans to relocate, next 2 years",Unsure,13%,337
"$50,001-$100,000","Plans to relocate, next 2 years",Does not plan to relocate,62%,417
"$50,001-$100,000","Plans to relocate, next 2 years",Unsure,23%,417
"$50,001-$100,000","Plans to relocate, next 2 years",Plans to relocate,15%,417
"$100,001-$250,000","Plans to relocate, next 2 years",Does not plan to relocate,73%,870
"$100,001-$250,000","Plans to relocate, next 2 years",Unsure,16%,870
"$100,001-$250,000","Plans to relocate, next 2 years",Plans to relocate,12%,870
"$250,001-$500,000","Plans to relocate, next 2 years",Does not plan to relocate,71%,1032
"$250,001-$500,000","Plans to relocate, next 2 years",Unsure,15%,1032
"$250,001-$500,000","Plans to relocate, next 2 years",Plans to relocate,14%,1032
"$500,001-$1 million","Plans to relocate, next 2 years",Does not plan to relocate,76%,1103
"$500,001-$1 million","Plans to relocate, next 2 years",Unsure,14%,1103
"$500,001-$1 million","Plans to relocate, next 2 years",Plans to relocate,10%,1103
$1 million-$5 million,"Plans to relocate, next 2 years",Does not plan to relocate,73%,1574
$1 million-$5 million,"Plans to relocate, next 2 years",Unsure,16%,1574
$1 million-$5 million,"Plans to relocate, next 2 years",Plans to relocate,11%,1574
"$25,001-$50,000",Primary reason for not applying for financing,Debt averse,38%,93
"$25,001-$50,000",Primary reason for not applying for financing,Had sufficient financing,36%,93
"$25,001-$50,000",Primary reason for not applying for financing,Discouraged,18%,93
"$25,001-$50,000",Primary reason for not applying for financing,Credit cost was too high,6%,93
"$25,001-$50,000",Primary reason for not applying for financing,Application process was too difficult or confusing,1%,93
"$25,001-$50,000",Primary reason for not applying for financing,Other,0%,93
$5 million-$10 million,Primary reason for not applying for financing,Had sufficient financing,88%,118
$5 million-$10 million,Primary reason for not applying for financing,Credit cost was too high,7%,118
$5 million-$10 million,Primary reason for not applying for financing,Debt averse,4%,118
$5 million-$10 million,Primary reason for not applying for financing,Discouraged,1%,118
$5 million-$10 million,Primary reason for not applying for financing,Application process was too difficult or confusing,0%,118
$5 million-$10 million,Primary reason for not applying for financing,Other,0%,118
"$0-$25,000",Primary reason for not applying for financing,Discouraged,43%,128
"$0-$25,000",Primary reason for not applying for financing,Debt averse,23%,128
"$0-$25,000",Primary reason for not applying for financing,Had sufficient financing,21%,128
"$0-$25,000",Primary reason for not applying for financing,Application process was too difficult or confusing,6%,128
"$0-$25,000",Primary reason for not applying for financing,Credit cost was too high,6%,128
"$0-$25,000",Primary reason for not applying for financing,Other,1%,128
More than $10 million,Primary reason for not applying for financing,Had sufficient financing,88%,135
More than $10 million,Primary reason for not applying for financing,Credit cost was too high,7%,135
More than $10 million,Primary reason for not applying for financing,Debt averse,3%,135
More than $10 million,Primary reason for not applying for financing,Application process was too difficult or confusing,1%,135
More than $10 million,Primary reason for not applying for financing,Other,0%,135
More than $10 million,Primary reason for not applying for financing,Discouraged,0%,135
"$50,001-$100,000",Primary reason for not applying for financing,Debt averse,42%,202
"$50,001-$100,000",Primary reason for not applying for financing,Had sufficient financing,27%,202
"$50,001-$100,000",Primary reason for not applying for financing,Discouraged,12%,202
"$50,001-$100,000",Primary reason for not applying for financing,Credit cost was too high,11%,202
"$50,001-$100,000",Primary reason for not applying for financing,Application process was too difficult or confusing,7%,202
"$50,001-$100,000",Primary reason for not applying for financing,Other,1%,202
"$100,001-$250,000",Primary reason for not applying for financing,Had sufficient financing,46%,430
"$100,001-$250,000",Primary reason for not applying for financing,Debt averse,31%,430
"$100,001-$250,000",Primary reason for not applying for financing,Discouraged,11%,430
"$100,001-$250,000",Primary reason for not applying for financing,Credit cost was too high,9%,430
"$100,001-$250,000",Primary reason for not applying for financing,Application process was too difficult or confusing,3%,430
"$100,001-$250,000",Primary reason for not applying for financing,Other,0%,430
"$500,001-$1 million",Primary reason for not applying for financing,Had sufficient financing,66%,519
"$500,001-$1 million",Primary reason for not applying for financing,Debt averse,20%,519
"$500,001-$1 million",Primary reason for not applying for financing,Credit cost was too high,6%,519
"$500,001-$1 million",Primary reason for not applying for financing,Discouraged,5%,519
"$500,001-$1 million",Primary reason for not applying for financing,Application process was too difficult or confusing,3%,519
"$500,001-$1 million",Primary reason for not applying for financing,Other,0%,519
"$250,001-$500,000",Primary reason for not applying for financing,Had sufficient financing,54%,542
"$250,001-$500,000",Primary reason for not applying for financing,Debt averse,28%,542
"$250,001-$500,000",Primary reason for not applying for financing,Credit cost was too high,12%,542
"$250,001-$500,000",Primary reason for not applying for financing,Discouraged,5%,542
"$250,001-$500,000",Primary reason for not applying for financing,Application process was too difficult or confusing,1%,542
"$250,001-$500,000",Primary reason for not applying for financing,Other,0%,542
$1 million-$5 million,Primary reason for not applying for financing,Had sufficient financing,75%,736
$1 million-$5 million,Primary reason for not applying for financing,Debt averse,11%,736
$1 million-$5 million,Primary reason for not applying for financing,Credit cost was too high,8%,736
$1 million-$5 million,Primary reason for not applying for financing,Discouraged,5%,736
$1 million-$5 million,Primary reason for not applying for financing,Other,1%,736
$1 million-$5 million,Primary reason for not applying for financing,Application process was too difficult or confusing,1%,736
